feature,label,anchor_feature,anchor_feature_label,abs_correlation
emb_0,emb_0 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.8601757463547105
emb_1,emb_1 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.996779497175182
emb_10,emb_10 - Account Age Days,account_age_days,Account Age Days,0.13147519119764975
emb_11,emb_11 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.7463999785890393
emb_12,emb_12 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9528177820758353
emb_13,emb_13 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.8607152215524905
emb_14,emb_14 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.9540007787567809
emb_15,emb_15 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9683018512950811
emb_16,emb_16 - Account Age Days,account_age_days,Account Age Days,0.5756566526364837
emb_17,emb_17 - Msg Word Len Mean,msg_word_len_mean,Msg Word Len Mean,0.9233316206483823
emb_18,emb_18 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9629526261453526
emb_19,emb_19 - Feedback Char Len Mean,feedback_char_len_mean,Feedback Char Len Mean,0.9513984083044715
emb_2,emb_2 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9983420298600568
emb_20,emb_20 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.9398532162113274
emb_21,emb_21 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9854269630557374
emb_22,emb_22 - Account Age Days,account_age_days,Account Age Days,0.0
emb_23,emb_23 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.9477031718669704
emb_24,emb_24 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.8997055951866495
emb_25,emb_25 - Account Age Days,account_age_days,Account Age Days,0.0
emb_26,emb_26 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9660220522323568
emb_27,emb_27 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9754777250309415
emb_28,emb_28 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.7911789292154009
emb_29,emb_29 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9345167176214406
emb_3,emb_3 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,1.0014157291324546
emb_30,emb_30 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.959760228181617
emb_31,emb_31 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.8620132648321093
emb_32,emb_32 - Account Age Days,account_age_days,Account Age Days,0.0
emb_33,emb_33 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.9198969058566454
emb_34,emb_34 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9799225398275445
emb_35,emb_35 - Feedback Char Len Mean,feedback_char_len_mean,Feedback Char Len Mean,0.47836399994818873
emb_36,emb_36 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.9756938833700212
emb_37,emb_37 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,1.0063501419921135
emb_38,emb_38 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.972560391504175
emb_39,emb_39 - Msg Word Len Mean,msg_word_len_mean,Msg Word Len Mean,0.7774841685452178
