signal_name,mean_abs_shap,dim_count,dimensions
Msg Char Len Mean,0.6200782,21,"emb_1, emb_11, emb_12, emb_14, emb_16, emb_2, emb_20, emb_24, emb_25, emb_28, emb_3, emb_30, emb_32, emb_41, emb_43, emb_46, emb_52, emb_57, emb_58, emb_61, emb_7"
Transcription Ratio,0.4932169,25,"emb_0, emb_10, emb_13, emb_17, emb_19, emb_23, emb_26, emb_31, emb_36, emb_37, emb_38, emb_39, emb_40, emb_42, emb_47, emb_48, emb_5, emb_50, emb_51, emb_54, emb_6, emb_60, emb_62, emb_63, emb_8"
question_ratio,0.22402903,1,question_ratio
avg_conversation_depth,0.08045831,1,avg_conversation_depth
emoji_usage_rate,0.070698656,1,emoji_usage_rate
messages_per_active_day,0.06563278,1,messages_per_active_day
sessions_per_week,0.059033424,1,sessions_per_week
engagement_score,0.053886693,1,engagement_score
Msg Word Len Mean,0.045642212,6,"emb_18, emb_21, emb_4, emb_49, emb_55, emb_9"
total_output_tokens,0.04402745,1,total_output_tokens
avg_message_length,0.042500354,1,avg_message_length
total_messages_sent,0.036513977,1,total_messages_sent
vocabulary_richness,0.028305707,1,vocabulary_richness
total_input_tokens,0.016513126,1,total_input_tokens
unique_words,0.015748415,1,unique_words
total_words,0.010287649,1,total_words
total_cost_usd,0.0,1,total_cost_usd
avg_session_duration_sec,0.0,1,avg_session_duration_sec
active_days_count,0.0,1,active_days_count
total_session_duration_sec,0.0,1,total_session_duration_sec
total_sessions,0.0,1,total_sessions
unique_sessions,0.0,1,unique_sessions
session_completion_rate,0.0,1,session_completion_rate
